"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,4,0.58,4,4000,100,5,2,381,3.97931732487024,1.67695763090879,-0.0206826751297582,0.295454545454545,0.12
4,4,0.58,4,4000,100,5,3,247,4.12829985373426,0.778349292621861,0.128299853734259,0.658227848101266,0.77
4,4,0.58,4,4000,100,5,4,181,4.02337894636555,0.789816694069211,0.0233789463655469,0.717647058823529,0.83
4,4,0.58,4,4000,100,5,5,141,4.06192924555869,0.685439773277687,0.0619292455586917,0.75,0.92
4,4,0.58,4,4000,100,5,6,114,4.03861056232842,0.377400494787087,0.0386105623284205,0.86734693877551,0.98
4,4,0.58,4,4000,100,5,7,95,3.96217305065281,0.506799357250024,-0.0378269493471928,0.88,1
4,4,0.58,4,4000,100,5,8,81,3.93997549151937,0.327957988339021,-0.0600245084806259,0.93,1
4,4,0.58,4,4000,100,5,9,69,3.95067823511351,0.310896657399107,-0.0493217648864861,0.878787878787879,0.99
4,4,0.58,4,4000,100,5,10,61,3.94329621427734,0.264070129264681,-0.0567037857226635,0.9,1
4,4,0.58,4,4000,100,5,11,53,4.04487001831437,0.22792409972647,0.0448700183143727,0.92,1
4,4,0.58,4,4000,100,5,12,47,4.06584125069581,0.283614753917945,0.0658412506958133,0.92,1
4,4,0.58,4,4000,100,5,13,42,3.9559951162084,0.302144721496556,-0.0440048837915987,0.85,1
4,4,0.58,4,4000,100,5,14,38,3.9833237405236,0.17902203033568,-0.0166762594763989,0.96,1
4,4,0.58,4,4000,100,5,15,34,4.03557595734805,0.234572477651125,0.0355759573480459,0.88,1
4,4,0.58,4,4000,100,5,16,31,4.03373209939945,0.188810005924069,0.0337320993994545,0.93,1
4,4,0.58,4,4000,100,5,17,28,4.03370308255526,0.166182615207354,0.033703082555256,0.97,1
4,4,0.58,4,4000,100,5,18,25,4.01897549277787,0.16880464092358,0.0189754927778676,0.94,1
4,4,0.58,4,4000,100,5,19,23,4.00846351426766,0.187890334319688,0.00846351426766478,0.91,1
4,4,0.58,4,4000,100,5,20,21,3.95373982439524,0.166177894798706,-0.0462601756047585,0.93,1
4,4,0.58,4,4000,100,5,21,19,4.03541299087534,0.157240954496835,0.0354129908753409,0.93,1
4,4,0.58,4,4000,100,5,22,17,3.97599385132586,0.18513397482258,-0.0240061486741365,0.91,1
4,4,0.58,4,4000,100,5,23,15,4.05841873988424,0.126272902301313,0.0584187398842442,0.98,1
4,4,0.58,4,4000,100,5,24,14,4.07989635614103,0.157478892112648,0.0798963561410346,0.95,1
4,4,0.58,4,4000,100,5,25,13,3.97216660601273,0.151994674418389,-0.027833393987271,0.93,1
4,4,0.58,4,4000,100,5,26,11,3.942296935952,0.138920941056475,-0.0577030640479981,0.9,1
4,4,0.58,4,4000,100,5,27,10,4.06044561642387,0.167189548866691,0.0604456164238663,0.91,1
4,4,0.58,4,4000,100,5,28,9,4.0624551378616,0.144020175875857,0.0624551378616038,0.94,1
4,4,0.58,4,4000,100,5,29,8,3.98398503351034,0.137245089126894,-0.0160149664896583,0.96,1
4,4,0.58,4,4000,100,5,30,7,3.96446959469408,0.188122857762343,-0.0355304053059218,0.91,1
4,4,0.58,4,4000,100,5,31,6,3.91614233791271,0.210298745042691,-0.0838576620872868,0.92,1
4,4,0.58,4,4000,100,5,32,6,4.07622281547031,0.146297129479363,0.0762228154703077,0.95,1
4,4,0.58,4,4000,100,5,33,5,3.97545080283843,0.142730005463442,-0.0245491971615728,0.96,1
4,4,0.58,4,4000,100,5,34,4,3.95630630779292,0.199327525163152,-0.0436936922070768,0.98,1
4,4,0.58,4,4000,100,5,35,3,4.04594347257757,0.208881217090975,0.0459434725775685,0.94,1
4,4,0.58,4,4000,100,5,36,3,4.03044071517764,0.224499866642551,0.0304407151776429,0.9,1
4,4,0.58,4,4000,100,5,37,2,4.0113870447169,0.304144668607116,0.0113870447168951,0.96,1
4,4,0.58,4,4000,100,5,38,2,4.00998929712464,0.26256888622665,0.00998929712464403,0.93,1
