"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,4,1,1,4000,100,5,2,381,3.95503562164425,2.78309079470641,-0.044964378355751,0.113636363636364,0.11
4,4,1,1,4000,100,5,3,247,4.17292322325134,1.28724602664213,0.172923223251338,0.632911392405063,0.71
4,4,1,1,4000,100,5,4,181,4.02911683422029,1.29246775971216,0.0291168342202921,0.717647058823529,0.78
4,4,1,1,4000,100,5,5,141,4.08892410670132,1.1127097236939,0.0889241067013158,0.739130434782609,0.88
4,4,1,1,4000,100,5,6,114,4.04091040376788,0.610998058052423,0.0409104037678798,0.897959183673469,0.96
4,4,1,1,4000,100,5,7,95,3.96195206125913,0.814929970935526,-0.0380479387408652,0.87,1
4,4,1,1,4000,100,5,8,81,3.93770935439937,0.578990533536707,-0.0622906456006254,0.91,1
4,4,1,1,4000,100,5,9,69,3.96312207213595,0.498780322809553,-0.0368779278640474,0.868686868686869,0.99
4,4,1,1,4000,100,5,10,61,3.90635844395434,0.418122820617594,-0.0936415560456556,0.91,1
4,4,1,1,4000,100,5,11,53,4.05524382239489,0.357620798617194,0.0552438223948908,0.91,1
4,4,1,1,4000,100,5,12,47,4.10017609581429,0.467916239684075,0.100176095814288,0.92,1
4,4,1,1,4000,100,5,13,42,3.96566045426039,0.444073835858576,-0.0343395457396101,0.87,1
4,4,1,1,4000,100,5,14,38,3.99324736725649,0.274226388806156,-0.00675263274351279,0.96,1
4,4,1,1,4000,100,5,15,34,4.04530292017282,0.34547017754047,0.0453029201728201,0.89,1
4,4,1,1,4000,100,5,16,31,4.04854456828769,0.291215016342846,0.0485445682876913,0.91,1
4,4,1,1,4000,100,5,17,28,4.04869945659913,0.2517815233247,0.0486994565991319,0.95,1
4,4,1,1,4000,100,5,18,25,4.03375901122543,0.224071398770847,0.0337590112254329,0.95,1
4,4,1,1,4000,100,5,19,23,3.98515083950188,0.260540065748054,-0.0148491604981245,0.91,1
4,4,1,1,4000,100,5,20,21,3.93685120317232,0.215612883410098,-0.0631487968276843,0.94,1
4,4,1,1,4000,100,5,21,19,4.06429776008218,0.209305346326345,0.0642977600821792,0.89,1
4,4,1,1,4000,100,5,22,17,3.99253379765011,0.241737418327637,-0.00746620234989104,0.9,1
4,4,1,1,4000,100,5,23,15,4.06632812437782,0.152746447773786,0.0663281243778222,0.98,1
4,4,1,1,4000,100,5,24,14,4.06696382419008,0.197736256042968,0.0669638241900774,0.94,1
4,4,1,1,4000,100,5,25,13,3.97395771308476,0.188240355558681,-0.0260422869152439,0.93,1
4,4,1,1,4000,100,5,26,11,3.9415153765811,0.174023335229107,-0.0584846234188992,0.91,1
4,4,1,1,4000,100,5,27,10,4.07195219701017,0.176512267066748,0.071952197010166,0.93,1
4,4,1,1,4000,100,5,28,9,4.06760774231574,0.173284354621685,0.067607742315742,0.91,1
4,4,1,1,4000,100,5,29,8,3.97896842710917,0.125235271426148,-0.0210315728908261,0.98,1
4,4,1,1,4000,100,5,30,7,3.93984230835485,0.171707759122192,-0.0601576916451481,0.94,1
4,4,1,1,4000,100,5,31,6,3.91066043384299,0.214852505179822,-0.0893395661570122,0.86,1
4,4,1,1,4000,100,5,32,6,4.0671296958802,0.146394919797877,0.0671296958802037,0.94,1
4,4,1,1,4000,100,5,33,5,4.01263675535207,0.12768464746491,0.0126367553520721,0.94,1
4,4,1,1,4000,100,5,34,4,3.94869658984731,0.143554142119224,-0.0513034101526917,0.97,1
4,4,1,1,4000,100,5,35,3,4.0314134339676,0.154732453446062,0.0314134339676038,0.94,1
4,4,1,1,4000,100,5,36,3,4.00478935441182,0.149825593508007,0.00478935441181516,0.93,1
4,4,1,1,4000,100,5,37,2,4.01094499080246,0.170424268174556,0.0109449908024635,0.94,1
4,4,1,1,4000,100,5,38,2,4.00650171702958,0.15280851043474,0.00650171702958069,0.94,1
