"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,2,1,NA,4000,100,10,2,191,1.89269708710622,1.73785032219786,-0.107302912893783,0.0192307692307692,0.51
4,2,1,NA,4000,100,10,3,124,2.21897499761471,1.37313893174486,0.218974997614708,0.63013698630137,0.58
4,2,1,NA,4000,100,10,4,91,2.1112714789193,1.42118570061835,0.111271478919304,0.730337078651685,0.67
4,2,1,NA,4000,100,10,5,71,1.93533543914742,1.08616425184141,-0.0646645608525771,0.8,0.65
4,2,1,NA,4000,100,10,6,57,1.90759453948049,0.780043661034713,-0.0924054605195084,0.854166666666667,0.68
4,2,1,NA,4000,100,10,7,48,2.07595270350975,0.715875138570649,0.0759527035097478,0.87,0.75
4,2,1,NA,4000,100,10,8,41,1.98423060298421,0.537394502409579,-0.0157693970157928,0.94,0.83
4,2,1,NA,4000,100,10,9,35,1.96174784680785,0.699297523321048,-0.038252153192146,0.888888888888889,0.82
4,2,1,NA,4000,100,10,10,31,2.05348090262401,0.483811727766739,0.0534809026240071,0.88,0.9
4,2,1,NA,4000,100,10,11,27,1.96280356226899,0.393464796206054,-0.0371964377310119,0.9,0.89
4,2,1,NA,4000,100,10,12,24,2.03794275271736,0.293929344235586,0.0379427527173575,0.94,0.92
4,2,1,NA,4000,100,10,13,21,1.96630857590438,0.371170777525976,-0.0336914240956219,0.89,0.92
4,2,1,NA,4000,100,10,14,19,1.81982323539825,0.303012696969886,-0.180176764601748,0.86,0.92
4,2,1,NA,4000,100,10,15,17,2.02221625064575,0.331432716515978,0.0222162506457515,0.9,0.94
4,2,1,NA,4000,100,10,16,16,2.00451698811829,0.312963448629125,0.00451698811829093,0.93,0.97
4,2,1,NA,4000,100,10,17,14,2.10905432981529,0.256020644625548,0.109054329815293,0.92,1
4,2,1,NA,4000,100,10,18,13,2.01754485920143,0.196018963337392,0.0175448592014305,0.94,0.98
4,2,1,NA,4000,100,10,19,12,1.94616102572543,0.236837116783447,-0.0538389742745682,0.93,0.98
4,2,1,NA,4000,100,10,20,11,1.97342629676077,0.220092032175882,-0.0265737032392268,0.93,0.99
4,2,1,NA,4000,100,10,21,10,1.96649080607837,0.229630299919303,-0.0335091939216254,0.94,1
4,2,1,NA,4000,100,10,22,9,2.00652636767737,0.181337041714357,0.0065263676773748,0.94,1
4,2,1,NA,4000,100,10,23,8,1.99399661340614,0.168867717064743,-0.00600338659385802,0.95,1
4,2,1,NA,4000,100,10,24,7,2.01931536822229,0.195247507887723,0.0193153682222875,0.92,1
4,2,1,NA,4000,100,10,25,7,1.97556806968434,0.162782326993422,-0.0244319303156602,0.95,1
4,2,1,NA,4000,100,10,26,6,1.96368769677945,0.225062913470964,-0.0363123032205537,0.91,1
4,2,1,NA,4000,100,10,27,5,2.00577954515497,0.137411293312701,0.00577954515496559,0.96,1
4,2,1,NA,4000,100,10,28,5,1.9950907427031,0.168137587725877,-0.00490925729690495,0.91,1
4,2,1,NA,4000,100,10,29,4,1.89451736812358,0.169938221099626,-0.105482631876419,0.94,1
4,2,1,NA,4000,100,10,30,4,2.08398279903357,0.151872381909799,0.0839827990335689,0.9,1
4,2,1,NA,4000,100,10,31,3,1.98311149622697,0.141550682664883,-0.0168885037730251,0.93,1
4,2,1,NA,4000,100,10,32,3,2.01347245224365,0.113963794814794,0.0134724522436525,0.96,1
4,2,1,NA,4000,100,10,33,3,2.03243798639401,0.119356149899762,0.0324379863940085,0.94,1
4,2,1,NA,4000,100,10,34,2,1.99980177608912,0.0871712974237911,-0.000198223910882422,0.95,1
4,2,1,NA,4000,100,10,35,2,2.04011699155465,0.105889230826102,0.0401169915546515,0.98,1
4,2,1,NA,4000,100,10,36,2,1.96152910076906,0.126345171487227,-0.0384708992309402,0.93,1
