"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,1,1,4,4000,50,10,2,196,NA,NA,NA,NA,NA
4,1,1,4,4000,50,10,3,129,1.63499402280128,0.065919029639075,0.634994022801278,1,0
4,1,1,4,4000,50,10,4,96,0.96066722368185,2.69298490617146,-0.0393327763181504,1,0
4,1,1,4,4000,50,10,5,76,2.06208017392998,0.690969201182325,1.06208017392998,1,0.666666666666667
4,1,1,4,4000,50,10,6,62,1.2606882436952,0.435837023115187,0.2606882436952,1,0
4,1,1,4,4000,50,10,7,53,0.509489973771675,0.0108403848291042,-0.490510026228325,1,0
4,1,1,4,4000,50,10,8,46,0.189782344212392,2.97760585305245,-0.810217655787608,0.666666666666667,1
4,1,1,4,4000,50,10,9,40,1.2814192561925,0.819552773628244,0.281419256192495,1,0.333333333333333
4,1,1,4,4000,50,10,10,36,0.428056259250302,0.13625014364268,-0.571943740749698,0.666666666666667,0
4,1,1,4,4000,50,10,11,32,0.859953370611106,0.134348848404788,-0.140046629388894,1,0
4,1,1,4,4000,50,10,12,29,1.20298845090066,0.469277819181872,0.202988450900661,1,0.333333333333333
4,1,1,4,4000,50,10,13,26,0.202740005368847,0.763406043633844,-0.797259994631153,1,0
4,1,1,4,4000,50,10,14,24,-0.0488135431131698,0.558610916764413,-1.04881354311317,0.666666666666667,0
4,1,1,4,4000,50,10,15,22,1.18087778715058,0.59143993057647,0.180877787150585,0.666666666666667,0.333333333333333
4,1,1,4,4000,50,10,16,21,0.7339510574914,0.639932123092906,-0.2660489425086,1,0.333333333333333
4,1,1,4,4000,50,10,17,19,0.634173107920983,0.245679930715883,-0.365826892079017,1,0.333333333333333
4,1,1,4,4000,50,10,18,18,1.39878629002747,0.1502365443262,0.398786290027469,1,0.666666666666667
4,1,1,4,4000,50,10,19,17,1.44857148856515,0.49088162688739,0.448571488565147,0.666666666666667,0.666666666666667
4,1,1,4,4000,50,10,20,16,0.598785009364592,0.250389687775088,-0.401214990635408,1,0
4,1,1,4,4000,50,10,21,15,1.12464110458712,0.110331374498613,0.124641104587123,1,0.666666666666667
4,1,1,4,4000,50,10,22,14,1.10145908792976,0.5615897472233,0.101459087929764,1,0.666666666666667
4,1,1,4,4000,50,10,23,13,1.5509578171809,0.077495907962088,0.550957817180904,1,1
4,1,1,4,4000,50,10,24,12,1.07696973052612,0.270872666097071,0.0769697305261157,1,0.333333333333333
4,1,1,4,4000,50,10,25,12,1.09369942906133,0.60169085643382,0.0936994290613309,0.666666666666667,0.333333333333333
4,1,1,4,4000,50,10,26,11,0.679981877645428,0.086877580017086,-0.320018122354572,1,0.333333333333333
4,1,1,4,4000,50,10,27,10,0.714088423259972,0.130988790686364,-0.285911576740028,1,0
4,1,1,4,4000,50,10,28,10,1.27843539891325,0.0584675854479747,0.27843539891325,1,1
4,1,1,4,4000,50,10,29,9,0.909470766974947,0.109750787413768,-0.0905292330250533,1,0.333333333333333
4,1,1,4,4000,50,10,30,9,1.28376337382857,0.109276990917265,0.283763373828567,1,1
4,1,1,4,4000,50,10,31,8,0.868995401807158,0.185129188376347,-0.131004598192842,1,0.333333333333333
4,1,1,4,4000,50,10,32,8,0.96200387770325,0.426347451168633,-0.0379961222967505,1,0.333333333333333
4,1,1,4,4000,50,10,33,8,0.834218577500836,0.0357845109524514,-0.165781422499164,1,0.666666666666667
4,1,1,4,4000,50,10,34,7,0.954833615358173,0.321354623187818,-0.0451663846418274,1,0.666666666666667
4,1,1,4,4000,50,10,35,7,0.819604886148316,0.188706615702965,-0.180395113851684,1,0.333333333333333
4,1,1,4,4000,50,10,36,7,1.20816350047173,0.225595290671402,0.208163500471729,1,0.666666666666667
4,1,1,4,4000,50,10,37,6,1.13135358128673,0.273045926678201,0.131353581286732,1,0.666666666666667
4,1,1,4,4000,50,10,38,6,1.2977433708352,0.00786174273347782,0.297743370835203,1,1
4,1,1,4,4000,50,10,39,6,1.20943407137516,0.425303865779628,0.209434071375161,0.666666666666667,0.666666666666667
4,1,1,4,4000,50,10,40,6,0.87324609906984,0.0473753183361551,-0.12675390093016,1,0.333333333333333
4,1,1,4,4000,50,10,41,5,0.882154162952704,0.565179462472423,-0.117845837047296,1,0.333333333333333
4,1,1,4,4000,50,10,42,5,1.60615527394706,0.0674029091138777,0.606155273947062,0.666666666666667,1
4,1,1,4,4000,50,10,43,5,0.964133369125504,0.372088068029459,-0.035866630874496,1,0.333333333333333
4,1,1,4,4000,50,10,44,5,1.20853151683347,0.530986700111633,0.208531516833468,0.666666666666667,0.666666666666667
4,1,1,4,4000,50,10,45,4,1.0128857720962,0.0517877503869074,0.0128857720961983,1,0.666666666666667
4,1,1,4,4000,50,10,46,4,1.10061368318356,0.316847899555579,0.10061368318356,1,0.333333333333333
4,1,1,4,4000,50,10,47,4,1.07151234996467,0.216838043264764,0.0715123499646675,1,0.666666666666667
4,1,1,4,4000,50,10,48,4,1.67411565269342,0.0327168706255182,0.67411565269342,0.666666666666667,1
4,1,1,4,4000,50,10,49,4,1.01823792225483,0.0184134713483192,0.0182379222548312,1,1
4,1,1,4,4000,50,10,50,4,1.22575139443706,0.243499178031834,0.22575139443706,1,1
4,1,1,4,4000,50,10,51,3,1.28886989065941,0.298626951960662,0.288869890659412,1,0.666666666666667
4,1,1,4,4000,50,10,52,3,0.560406587272447,0.0435665266097098,-0.439593412727553,1,0
4,1,1,4,4000,50,10,53,3,0.749040327793151,0.0212385477068766,-0.250959672206849,1,0.333333333333333
4,1,1,4,4000,50,10,54,3,0.857506998263499,0.0906436858761392,-0.142493001736501,1,0.666666666666667
4,1,1,4,4000,50,10,55,3,0.989554159241134,0.0942117164020345,-0.0104458407588657,1,0.666666666666667
4,1,1,4,4000,50,10,56,3,0.623374696807637,0.0542513094750214,-0.376625303192363,1,0.333333333333333
4,1,1,4,4000,50,10,57,3,1.00389430002416,0.167999017003244,0.00389430002415936,1,0.333333333333333
4,1,1,4,4000,50,10,58,2,0.734805522655516,0.713237814298387,-0.265194477344484,0.666666666666667,0.333333333333333
4,1,1,4,4000,50,10,59,2,0.858339308329053,0.0780971301675237,-0.141660691670947,1,0.333333333333333
4,1,1,4,4000,50,10,60,2,0.955733170050498,0.0125730436305098,-0.0442668299495024,1,0.666666666666667
4,1,1,4,4000,50,10,61,2,0.932800441789474,0.0930425537993073,-0.0671995582105258,1,0.666666666666667
4,1,1,4,4000,50,10,62,2,0.923154814021605,0.0846725180427335,-0.0768451859783947,1,0.666666666666667
4,1,1,4,4000,50,10,63,2,1.27701076528185,0.0944979163995381,0.27701076528185,1,1
4,1,1,4,4000,50,10,64,2,1.19077565344871,0.0919432421739372,0.190775653448706,1,0.666666666666667
4,1,1,4,4000,50,10,65,2,0.67706044571781,0.0840965925347151,-0.322939554282189,1,0.333333333333333
4,1,1,4,4000,50,10,66,2,0.806308666687438,0.115223921410015,-0.193691333312562,1,0.666666666666667
