"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,4,1,1,4000,50,10,2,196,NA,NA,NA,NA,NA
4,4,1,1,4000,50,10,3,129,4.63105801123157,0.16437801472646,0.63105801123157,1,0.666666666666667
4,4,1,1,4000,50,10,4,96,4.00438407237047,2.69036940282623,0.00438407237046956,1,0.666666666666667
4,4,1,1,4000,50,10,5,76,5.10383056530169,0.793223912636947,1.10383056530169,0.333333333333333,1
4,4,1,1,4000,50,10,6,62,4.09198732665789,0.197916088694813,0.0919873266578861,1,1
4,4,1,1,4000,50,10,7,53,3.51079940050742,0.0631497542836934,-0.48920059949258,1,1
4,4,1,1,4000,50,10,8,46,3.2362869348118,2.19198636062982,-0.763713065188199,0.666666666666667,1
4,4,1,1,4000,50,10,9,40,4.23113259641538,0.679138944838691,0.231132596415384,1,1
4,4,1,1,4000,50,10,10,36,3.4741442209694,0.0582930509415613,-0.5258557790306,1,1
4,4,1,1,4000,50,10,11,32,3.94752996134293,0.107895537398683,-0.0524700386570651,1,1
4,4,1,1,4000,50,10,12,29,4.23009788964579,0.354731045648708,0.230097889645793,1,1
4,4,1,1,4000,50,10,13,26,3.37352468098857,0.433724300455201,-0.626475319011426,1,1
4,4,1,1,4000,50,10,14,24,3.13687688565683,0.516551651924564,-0.863123114343175,0.666666666666667,1
4,4,1,1,4000,50,10,15,22,4.11235403789586,0.628145125488957,0.112354037895865,0.666666666666667,1
4,4,1,1,4000,50,10,16,21,3.75841110030483,0.54219592471564,-0.241588899695167,1,1
4,4,1,1,4000,50,10,17,19,3.60729366749509,0.224528959915117,-0.392706332504905,1,1
4,4,1,1,4000,50,10,18,18,4.3843529689308,0.154535592768301,0.384352968930799,1,1
4,4,1,1,4000,50,10,19,17,4.37702313970652,0.427824716760406,0.377023139706523,0.666666666666667,1
4,4,1,1,4000,50,10,20,16,3.65724027565685,0.237505278331844,-0.342759724343146,1,1
4,4,1,1,4000,50,10,21,15,4.07662535488716,0.0440168113359508,0.0766253548871569,1,1
4,4,1,1,4000,50,10,22,14,4.03565150106953,0.386475630764919,0.0356515010695331,1,1
4,4,1,1,4000,50,10,23,13,4.54880311279584,0.0519989865237324,0.548803112795843,1,1
4,4,1,1,4000,50,10,24,12,4.03558954874772,0.155278826627162,0.0355895487477174,1,1
4,4,1,1,4000,50,10,25,12,4.05610338061667,0.562023274196128,0.0561033806166664,0.666666666666667,1
4,4,1,1,4000,50,10,26,11,3.70922985727418,0.090058019576454,-0.290770142725821,0.666666666666667,1
4,4,1,1,4000,50,10,27,10,3.76959150182231,0.102168309854923,-0.230408498177688,1,1
4,4,1,1,4000,50,10,28,10,4.22176239006844,0.0509750159775131,0.221762390068441,1,1
4,4,1,1,4000,50,10,29,9,3.96024866954661,0.0563980189145104,-0.039751330453393,1,1
4,4,1,1,4000,50,10,30,9,4.22772768524392,0.0774654185657175,0.227727685243925,1,1
4,4,1,1,4000,50,10,31,8,3.84224707493256,0.206021298475576,-0.157752925067439,1,1
4,4,1,1,4000,50,10,32,8,3.85853712680407,0.425079966656636,-0.141462873195935,1,1
4,4,1,1,4000,50,10,33,8,3.87297884029113,0.0895578451617734,-0.12702115970887,1,1
4,4,1,1,4000,50,10,34,7,3.96310789607896,0.183538578910667,-0.0368921039210366,1,1
4,4,1,1,4000,50,10,35,7,3.7271827564017,0.141790930442777,-0.272817243598302,1,1
4,4,1,1,4000,50,10,36,7,4.17595402726927,0.217193694370058,0.175954027269273,1,1
4,4,1,1,4000,50,10,37,6,4.11782673451318,0.131064226892478,0.11782673451318,1,1
4,4,1,1,4000,50,10,38,6,4.26336383579143,0.0530833168723851,0.263363835791432,1,1
4,4,1,1,4000,50,10,39,6,4.20678740814253,0.24000803615393,0.206787408142526,0.666666666666667,1
4,4,1,1,4000,50,10,40,6,3.84934477297282,0.037531746949407,-0.150655227027176,1,1
4,4,1,1,4000,50,10,41,5,3.82531567866619,0.357876095656358,-0.174684321333815,1,1
4,4,1,1,4000,50,10,42,5,4.46928653316285,0.081181736189145,0.469286533162848,0.666666666666667,1
4,4,1,1,4000,50,10,43,5,3.92016779848718,0.262459256356737,-0.0798322015128177,1,1
4,4,1,1,4000,50,10,44,5,4.16208164448109,0.27263755178308,0.162081644481091,1,1
4,4,1,1,4000,50,10,45,4,4.06632638903918,0.058680039073253,0.0663263890391805,1,1
4,4,1,1,4000,50,10,46,4,4.07636449442804,0.280885038944288,0.0763644944280379,0.666666666666667,1
4,4,1,1,4000,50,10,47,4,4.07847566923494,0.137382566706519,0.0784756692349386,1,1
4,4,1,1,4000,50,10,48,4,4.50593143168353,0.00845640907665717,0.505931431683526,1,1
4,4,1,1,4000,50,10,49,4,4.01868512418026,0.0049069619798852,0.018685124180255,1,1
4,4,1,1,4000,50,10,50,4,4.10915772085724,0.131572607900173,0.109157720857239,1,1
4,4,1,1,4000,50,10,51,3,4.10568712041072,0.163623431761776,0.105687120410717,1,1
4,4,1,1,4000,50,10,52,3,3.77708901127293,0.0324482766956141,-0.222910988727071,1,1
4,4,1,1,4000,50,10,53,3,3.8412687574133,0.00455709809717124,-0.158731242586696,1,1
4,4,1,1,4000,50,10,54,3,4.00177865497906,0.0675073636075204,0.00177865497905572,1,1
4,4,1,1,4000,50,10,55,3,4.09306837615021,0.122714435647605,0.0930683761502067,1,1
4,4,1,1,4000,50,10,56,3,3.64735261236518,0.0767284717620757,-0.352647387634816,0.666666666666667,1
4,4,1,1,4000,50,10,57,3,4.09403497113354,0.0527050941692173,0.0940349711335351,1,1
4,4,1,1,4000,50,10,58,2,3.84763633750636,0.300193339095265,-0.15236366249364,0.666666666666667,1
4,4,1,1,4000,50,10,59,2,3.87501464948855,0.118106338057991,-0.124985350511451,1,1
4,4,1,1,4000,50,10,60,2,4.00223254408274,0.0106246261102828,0.00223254408274443,1,1
4,4,1,1,4000,50,10,61,2,3.85196977961658,0.01585156183557,-0.148030220383422,1,1
4,4,1,1,4000,50,10,62,2,3.93950433851548,0.0581691105927149,-0.0604956614845231,1,1
4,4,1,1,4000,50,10,63,2,4.22476192082656,0.027622128321532,0.224761920826562,1,1
4,4,1,1,4000,50,10,64,2,4.18015059417317,0.0250883143728951,0.18015059417317,1,1
4,4,1,1,4000,50,10,65,2,3.86862098579031,0.0497387174656113,-0.131379014209693,1,1
4,4,1,1,4000,50,10,66,2,3.83778665250642,0.0313267147351302,-0.162213347493578,1,1
