"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,1,1,NA,4000,50,10,2,196,3.00718925236463,NA,2.00718925236463,0,0
4,1,1,NA,4000,50,10,3,129,0.717205112929806,0.532296891481981,-0.282794887070194,1,0
4,1,1,NA,4000,50,10,4,96,0.559164544917583,2.7254218238574,-0.440835455082417,0.333333333333333,0
4,1,1,NA,4000,50,10,5,76,2.13460111779286,1.51993536324687,1.13460111779286,0.666666666666667,0
4,1,1,NA,4000,50,10,6,62,0.372364227317255,1.27456171255007,-0.627635772682746,0.666666666666667,0
4,1,1,NA,4000,50,10,7,53,0.304139505596568,0.32656886528986,-0.695860494403432,1,0
4,1,1,NA,4000,50,10,8,46,1.22447533867648,0.164620740714315,0.224475338676482,1,0
4,1,1,NA,4000,50,10,9,40,0.844854218016244,0.186407477999688,-0.155145781983756,1,0
4,1,1,NA,4000,50,10,10,36,1.05750018125111,0.10768592294345,0.0575001812511053,1,0
4,1,1,NA,4000,50,10,11,32,0.815562997779119,0.040917676029575,-0.184437002220881,1,0
4,1,1,NA,4000,50,10,12,29,0.95688387052249,0.23339084285303,-0.04311612947751,1,0
4,1,1,NA,4000,50,10,13,26,0.808405395076401,0.189095879140017,-0.191594604923599,1,0
4,1,1,NA,4000,50,10,14,24,0.368654873939133,0.204312929829889,-0.631345126060866,0.666666666666667,0
4,1,1,NA,4000,50,10,15,22,1.50470679075985,0.20643393855647,0.50470679075985,1,0
4,1,1,NA,4000,50,10,16,21,0.948989860572713,0.0480804138303413,-0.051010139427287,1,0
4,1,1,NA,4000,50,10,17,19,1.09133920580727,0.118900617952361,0.0913392058072724,1,0
4,1,1,NA,4000,50,10,18,18,1.30964372411929,0.201643941695512,0.30964372411929,1,0
4,1,1,NA,4000,50,10,19,17,1.30565021885356,0.390510801415746,0.305650218853559,0.666666666666667,0
4,1,1,NA,4000,50,10,20,16,0.91263867346127,0.348060678504925,-0.08736132653873,1,0
4,1,1,NA,4000,50,10,21,15,1.01457419560823,0.0459317552124338,0.0145741956082268,1,0
4,1,1,NA,4000,50,10,22,14,1.05669295194181,0.423431157661184,0.0566929519418122,1,0
4,1,1,NA,4000,50,10,23,13,1.55796023957227,0.0473560528023522,0.557960239572271,1,0
4,1,1,NA,4000,50,10,24,12,0.908859397240871,0.144904552828467,-0.0911406027591288,1,0
4,1,1,NA,4000,50,10,25,12,1.08267915041867,0.231927715499959,0.0826791504186737,1,0
