"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,0.58,NA,4000,100,5,2,381,2.20313794773361,0.910911974002737
4,1,0.58,NA,4000,100,5,3,247,0.725404303997144,0.573289653179278
4,1,0.58,NA,4000,100,5,4,181,1.0558935873226,0.523428690221734
4,1,0.58,NA,4000,100,5,5,141,1.5317037287543,1.39788509882057
4,1,0.58,NA,4000,100,5,6,114,1.06733217816011,0.471784326187805
4,1,0.58,NA,4000,100,5,7,95,0.502409589397213,0.369562975518529
4,1,0.58,NA,4000,100,5,8,81,1.16361933622832,0.260910572487787
4,1,0.58,NA,4000,100,5,9,69,1.06624667613441,0.543751277298792
4,1,0.58,NA,4000,100,5,10,61,0.634053152275964,0.0913266113057827
4,1,0.58,NA,4000,100,5,11,53,0.936837168908107,0.227673812229885
4,1,0.58,NA,4000,100,5,12,47,1.09438330014844,0.0551783151942241
4,1,0.58,NA,4000,100,5,13,42,0.948135958767115,0.160957863457353
4,1,0.58,NA,4000,100,5,14,38,0.80921224944894,0.166207150931106
4,1,0.58,NA,4000,100,5,15,34,0.974829169938105,0.177862282941477
4,1,0.58,NA,4000,100,5,16,31,1.12228507583481,0.0423960940282063
4,1,0.58,NA,4000,100,5,17,28,1.13537679646577,0.175619260567478
4,1,0.58,NA,4000,100,5,18,25,0.94907812777657,0.0987859907925706
4,1,0.58,NA,4000,100,5,19,23,1.06194479680375,0.196757744097402
4,1,0.58,NA,4000,100,5,20,21,0.947519167740739,0.136303956547293
4,1,0.58,NA,4000,100,5,21,19,1.12461726215185,0.180675394192466
4,1,0.58,NA,4000,100,5,22,17,1.03813809464995,0.0984264517397656
4,1,0.58,NA,4000,100,5,23,15,1.11252389258038,0.073350165122661
4,1,0.58,NA,4000,100,5,24,14,0.969966937179878,0.0658983855931986
4,1,0.58,NA,4000,100,5,25,13,1.21801201466929,0.0939179472883234
4,1,0.58,NA,4000,100,5,26,11,0.941479329000409,0.0846717241446124
4,1,0.58,NA,4000,100,5,27,10,0.965004765100675,0.110429757312097
4,1,0.58,NA,4000,100,5,28,9,1.11923108720132,0.0566930190515025
4,1,0.58,NA,4000,100,5,29,8,0.959312010167526,0.116576376544215
4,1,0.58,NA,4000,100,5,30,7,1.03927446666413,0.0803546376088457
4,1,0.58,NA,4000,100,5,31,6,1.0526800388963,0.0729325009822944
4,1,0.58,NA,4000,100,5,32,6,0.863298218294011,0.0877029763118599
4,1,0.58,NA,4000,100,5,33,5,0.85198243085561,0.0811231169042305
4,1,0.58,NA,4000,100,5,34,4,0.969890062270934,0.0794789935990213
4,1,0.58,NA,4000,100,5,35,3,1.119592386917,0.0662981431006205
4,1,0.58,NA,4000,100,5,36,3,0.874190238434594,0.0722663389235032
4,1,0.58,NA,4000,100,5,37,2,0.955480318469494,0.0595426000597543
4,1,0.58,NA,4000,100,5,38,2,1.12503316155205,0.114621312026421
