"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,1,NA,5000,100,5,2,481,0.975550287014417,1.11625942539276
4,1,1,NA,5000,100,5,3,314,1.14099276258016,1.04860385177607
4,1,1,NA,5000,100,5,4,231,1.48950378707094,1.15537654014855
4,1,1,NA,5000,100,5,5,181,1.45880437168879,1.14678971950938
4,1,1,NA,5000,100,5,6,147,1.08702990312551,0.816788858275941
4,1,1,NA,5000,100,5,7,123,1.00095909563961,0.542465951218496
4,1,1,NA,5000,100,5,8,106,0.850269432810955,0.596089217928035
4,1,1,NA,5000,100,5,9,92,0.946952573790353,0.377954781834086
4,1,1,NA,5000,100,5,10,81,0.681795354745107,0.390198017188824
4,1,1,NA,5000,100,5,11,71,1.06087097973426,0.228724108331535
4,1,1,NA,5000,100,5,12,64,0.828800433165386,0.167971471694289
4,1,1,NA,5000,100,5,13,57,1.29164509070668,0.231837883129292
4,1,1,NA,5000,100,5,14,52,0.94247114153645,0.334468922358059
4,1,1,NA,5000,100,5,15,47,1.14398687552603,0.736582617670319
4,1,1,NA,5000,100,5,16,43,0.802714914307692,0.174834504200961
4,1,1,NA,5000,100,5,17,39,1.1727086916776,0.0955699405570196
4,1,1,NA,5000,100,5,18,36,1.10431396337283,0.174576830214019
4,1,1,NA,5000,100,5,19,33,1.04456755550169,0.48307677470833
4,1,1,NA,5000,100,5,20,31,1.01943581995569,0.293453945115416
4,1,1,NA,5000,100,5,21,28,0.929665498331051,0.129914134563675
4,1,1,NA,5000,100,5,22,26,1.29318255772948,0.0745453438744735
4,1,1,NA,5000,100,5,23,24,0.959101514863276,0.275135905443808
4,1,1,NA,5000,100,5,24,22,0.915437729460522,0.286993894825031
4,1,1,NA,5000,100,5,25,21,0.915730562349163,0.092357835710449
4,1,1,NA,5000,100,5,26,19,0.931709599879471,0.294619868818141
4,1,1,NA,5000,100,5,27,18,0.806122326874221,0.110992401960125
4,1,1,NA,5000,100,5,28,16,1.02090172042284,0.0877589802094845
4,1,1,NA,5000,100,5,29,15,1.00394111305544,0.0848589444955043
4,1,1,NA,5000,100,5,30,14,0.959499477310813,0.15994371930551
4,1,1,NA,5000,100,5,31,13,0.874220879049302,0.073868703668225
4,1,1,NA,5000,100,5,32,12,1.01712592410266,0.176520722886446
4,1,1,NA,5000,100,5,33,11,1.00262051249197,0.0556970072787566
4,1,1,NA,5000,100,5,34,10,0.849392424403538,0.0787714918170819
4,1,1,NA,5000,100,5,35,9,1.12702023395271,0.133981436378916
4,1,1,NA,5000,100,5,36,8,0.723060023788927,0.109058052922379
4,1,1,NA,5000,100,5,37,8,0.995539763952102,0.115078652468548
4,1,1,NA,5000,100,5,38,7,0.948675568572408,0.0964797184713098
4,1,1,NA,5000,100,5,39,6,1.0889004812292,0.147225618949566
4,1,1,NA,5000,100,5,40,6,1.00671221683213,0.069318687316586
4,1,1,NA,5000,100,5,41,5,1.01879576046253,0.115827993267442
4,1,1,NA,5000,100,5,42,4,1.00961866743977,0.124828703821827
4,1,1,NA,5000,100,5,43,4,0.983355924726898,0.0505857829616969
4,1,1,NA,5000,100,5,44,3,1.07045972928141,0.14890640514166
4,1,1,NA,5000,100,5,45,3,1.17914510583473,0.172187588337619
4,1,1,NA,5000,100,5,46,2,1.13087815621855,0.108784086253795
4,1,1,NA,5000,100,5,47,2,1.05277551675769,0.219737029183892
