"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,0.58,NA,2000,100,5,2,181,0.381056416746778,0.03952948388227
4,1,0.58,NA,2000,100,5,3,114,1.3761734503233,0.923645289734232
4,1,0.58,NA,2000,100,5,4,81,1.01558519601633,1.02297912650515
4,1,0.58,NA,2000,100,5,5,61,1.37429434233492,0.546396453908433
4,1,0.58,NA,2000,100,5,6,47,1.06060334568293,0.385778969081343
4,1,0.58,NA,2000,100,5,7,38,0.981249281505925,0.379377022152454
4,1,0.58,NA,2000,100,5,8,31,0.928653853779196,0.326183632596801
4,1,0.58,NA,2000,100,5,9,25,0.82653636522189,0.330275859491384
4,1,0.58,NA,2000,100,5,10,21,0.961388648278827,0.482720921306375
4,1,0.58,NA,2000,100,5,11,17,1.06840547445337,0.209340152157902
4,1,0.58,NA,2000,100,5,12,14,1.06675457385868,0.107465944135159
4,1,0.58,NA,2000,100,5,13,11,0.790135320669799,0.121149655698459
4,1,0.58,NA,2000,100,5,14,9,0.883921924242507,0.20725363043923
4,1,0.58,NA,2000,100,5,15,7,1.11733628199138,0.185594439675341
4,1,0.58,NA,2000,100,5,16,6,0.713355285475472,0.239713351252709
4,1,0.58,NA,2000,100,5,17,4,1.12169576998738,0.13595335572275
4,1,0.58,NA,2000,100,5,18,3,0.90224194315309,0.161156326094161
4,1,0.58,NA,2000,100,5,19,2,0.986752896751539,0.166326642847725
