"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,2,0.58,4,4000,100,10,2,191,1.12718800656375,1.27557013232911
4,2,0.58,4,4000,100,10,3,124,1.80015417890913,0.883499896483016
4,2,0.58,4,4000,100,10,4,91,2.21903401487062,0.738161001482085
4,2,0.58,4,4000,100,10,5,71,2.11938980078925,0.679066601023557
4,2,0.58,4,4000,100,10,6,57,1.98758701026113,0.40866866504942
4,2,0.58,4,4000,100,10,7,48,1.87454642558582,0.323748320635331
4,2,0.58,4,4000,100,10,8,41,2.08998983161853,0.506195149613823
4,2,0.58,4,4000,100,10,9,35,1.92398023175009,0.433799517060488
4,2,0.58,4,4000,100,10,10,31,2.02598379894067,0.163441470892958
4,2,0.58,4,4000,100,10,11,27,2.2944758620351,0.390399726070046
4,2,0.58,4,4000,100,10,12,24,2.14025227300579,0.397753507806363
4,2,0.58,4,4000,100,10,13,21,1.91308776115086,0.355035006993708
4,2,0.58,4,4000,100,10,14,19,1.95434282017151,0.242886337435732
4,2,0.58,4,4000,100,10,15,17,2.18758573958215,0.322797760686728
4,2,0.58,4,4000,100,10,16,16,1.9532570413873,0.234160680124645
4,2,0.58,4,4000,100,10,17,14,1.93533512312295,0.219114778451987
4,2,0.58,4,4000,100,10,18,13,1.82983565689326,0.132148092503018
4,2,0.58,4,4000,100,10,19,12,1.93300388990417,0.186771300814219
4,2,0.58,4,4000,100,10,20,11,2.00826070152265,0.137764642475272
4,2,0.58,4,4000,100,10,21,10,1.9257259662686,0.140017665363825
4,2,0.58,4,4000,100,10,22,9,1.91492662172282,0.132829937996788
4,2,0.58,4,4000,100,10,23,8,2.0384675087241,0.207259679924531
4,2,0.58,4,4000,100,10,24,7,2.04498593999437,0.23120461256201
4,2,0.58,4,4000,100,10,25,7,1.97356402828939,0.204135378550361
4,2,0.58,4,4000,100,10,26,6,1.9614142289255,0.239143159242545
4,2,0.58,4,4000,100,10,27,5,2.00656105588825,0.194041048540317
4,2,0.58,4,4000,100,10,28,5,2.19917212384566,0.219376305673023
4,2,0.58,4,4000,100,10,29,4,2.07730313415228,0.239223516741593
4,2,0.58,4,4000,100,10,30,4,2.17943709514763,0.166584417998174
4,2,0.58,4,4000,100,10,31,3,2.02372946386237,0.244161470422613
4,2,0.58,4,4000,100,10,32,3,1.98476182422816,0.210882610733449
4,2,0.58,4,4000,100,10,33,3,1.97658826814412,0.40757511800182
4,2,0.58,4,4000,100,10,34,2,1.83401757138902,0.192848287630706
4,2,0.58,4,4000,100,10,35,2,1.95776856704206,0.204495984156303
4,2,0.58,4,4000,100,10,36,2,1.89465163233517,0.212752262853155
