"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,1,4,5000,100,10,2,241,0.274697019792985,2.17166599351518
4,1,1,4,5000,100,10,3,157,1.26119495170237,2.15098361766055
4,1,1,4,5000,100,10,4,116,1.43439016606455,1.50748834669329
4,1,1,4,5000,100,10,5,91,0.990916209103103,1.52390869294075
4,1,1,4,5000,100,10,6,74,1.12529839239144,0.644173426710566
4,1,1,4,5000,100,10,7,62,1.16845469436743,1.51896720936588
4,1,1,4,5000,100,10,8,53,1.1143895905608,0.463272567442798
4,1,1,4,5000,100,10,9,46,0.836046678088776,0.298787037553901
4,1,1,4,5000,100,10,10,41,0.815573337525524,0.538634614125295
4,1,1,4,5000,100,10,11,36,1.26163056592494,0.629009410016728
4,1,1,4,5000,100,10,12,32,0.904710335338843,0.309571666066843
4,1,1,4,5000,100,10,13,29,0.862118991291509,0.277920668504387
4,1,1,4,5000,100,10,14,26,0.917458510556197,0.406738268749705
4,1,1,4,5000,100,10,15,24,1.02038200230339,0.267141776007157
4,1,1,4,5000,100,10,16,22,1.0028994038645,0.188141702665003
4,1,1,4,5000,100,10,17,20,0.860301233218957,0.23174535355086
4,1,1,4,5000,100,10,18,18,1.13140778928195,0.467081907903672
4,1,1,4,5000,100,10,19,17,1.20401176509917,0.230666267391474
4,1,1,4,5000,100,10,20,16,0.898768526963063,0.372822666382667
4,1,1,4,5000,100,10,21,14,1.01738941192877,0.248766478514689
4,1,1,4,5000,100,10,22,13,0.969324757753342,0.25565085591179
4,1,1,4,5000,100,10,23,12,0.960447648310222,0.16773279975397
4,1,1,4,5000,100,10,24,11,0.892713490742708,0.158463038030848
4,1,1,4,5000,100,10,25,11,0.927684784684104,0.130895891027006
4,1,1,4,5000,100,10,26,10,1.16621445965824,0.097669799229844
4,1,1,4,5000,100,10,27,9,1.13564960774198,0.220317436392847
4,1,1,4,5000,100,10,28,8,1.01031339887172,0.220066574635603
4,1,1,4,5000,100,10,29,8,1.09393395714696,0.154586800949986
4,1,1,4,5000,100,10,30,7,0.848368929392074,0.319298022634196
4,1,1,4,5000,100,10,31,7,1.03889447353359,0.16783190885107
4,1,1,4,5000,100,10,32,6,1.10860028506866,0.20993249643071
4,1,1,4,5000,100,10,33,6,0.938603204669175,0.190775392356821
4,1,1,4,5000,100,10,34,5,1.12067068426592,0.200919483894985
4,1,1,4,5000,100,10,35,5,0.913959183307035,0.175788739678003
4,1,1,4,5000,100,10,36,4,0.882453741151827,0.247067256590829
4,1,1,4,5000,100,10,37,4,0.866604217491454,0.19174495605685
4,1,1,4,5000,100,10,38,4,0.971546925306008,0.254133293208858
4,1,1,4,5000,100,10,39,3,1.08659429504197,0.259358045984705
4,1,1,4,5000,100,10,40,3,1.20175641364715,0.229680228501941
4,1,1,4,5000,100,10,41,3,1.16674379723018,0.296572422416365
4,1,1,4,5000,100,10,42,2,1.00896228089676,0.207526698719038
4,1,1,4,5000,100,10,43,2,1.05908899811036,0.504486832771183
4,1,1,4,5000,100,10,44,2,1.11615372304003,0.137999040558335
4,1,1,4,5000,100,10,45,2,1.05564048956028,0.238983693624315
