"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,0.58,NA,4000,50,10,2,196,0.67189259877547,0.197775672206194
4,1,0.58,NA,4000,50,10,3,129,0.595197026980642,0.994157556060078
4,1,0.58,NA,4000,50,10,4,96,1.38546553850122,0.300076461315737
4,1,0.58,NA,4000,50,10,5,76,1.20458945145182,1.08113947476377
4,1,0.58,NA,4000,50,10,6,62,1.15925637525894,0.13483505898324
4,1,0.58,NA,4000,50,10,7,53,1.18288432847453,0.621268406412729
4,1,0.58,NA,4000,50,10,8,46,1.09950361206741,0.301999032899818
4,1,0.58,NA,4000,50,10,9,40,1.06528744140405,0.42247923274901
4,1,0.58,NA,4000,50,10,10,36,0.94849810683418,0.10211535996382
4,1,0.58,NA,4000,50,10,11,32,0.743582457607961,0.192144843061552
4,1,0.58,NA,4000,50,10,12,29,1.14551763472939,0.164353472700867
4,1,0.58,NA,4000,50,10,13,26,0.996545701211094,0.131237272893841
4,1,0.58,NA,4000,50,10,14,24,0.886425091618158,0.212205529915228
4,1,0.58,NA,4000,50,10,15,22,1.0952437373499,0.239291004069166
4,1,0.58,NA,4000,50,10,16,21,0.931586587848329,0.120813712561982
4,1,0.58,NA,4000,50,10,17,19,0.73285434600704,0.0861880553452534
4,1,0.58,NA,4000,50,10,18,18,1.06226398194112,0.189049265033174
4,1,0.58,NA,4000,50,10,19,17,1.0956815504329,0.121116138804036
4,1,0.58,NA,4000,50,10,20,16,1.05274726130625,0.271427286421921
4,1,0.58,NA,4000,50,10,21,15,1.01009159508609,0.098577530099224
4,1,0.58,NA,4000,50,10,22,14,1.04868908994611,0.0710440903164036
4,1,0.58,NA,4000,50,10,23,13,0.987395355432816,0.0742162578232577
4,1,0.58,NA,4000,50,10,24,12,0.998854344759711,0.0945434518247363
4,1,0.58,NA,4000,50,10,25,12,0.85251125407391,0.0898390020451003
4,1,0.58,NA,4000,50,10,26,11,0.941479329000409,0.0846717241446124
4,1,0.58,NA,4000,50,10,27,10,0.965004765100675,0.110429757312097
4,1,0.58,NA,4000,50,10,28,10,1.0196898631697,0.0730939247091036
4,1,0.58,NA,4000,50,10,29,9,0.879603737186541,0.0315160443873995
4,1,0.58,NA,4000,50,10,30,9,1.04696043347015,0.0966316761908288
4,1,0.58,NA,4000,50,10,31,8,1.12084476218679,0.0818747533526488
4,1,0.58,NA,4000,50,10,32,8,0.955026718691565,0.0692282808741703
4,1,0.58,NA,4000,50,10,33,8,0.881974880504254,0.0310419796677119
4,1,0.58,NA,4000,50,10,34,7,1.03229787835692,0.033370497508145
4,1,0.58,NA,4000,50,10,35,7,0.967191897363546,0.0509768199344433
4,1,0.58,NA,4000,50,10,36,7,1.0903786064759,0.0636781257994238
4,1,0.58,NA,4000,50,10,37,6,0.988613256455318,0.0724080167997706
4,1,0.58,NA,4000,50,10,38,6,0.912011809796087,0.0683943012523063
4,1,0.58,NA,4000,50,10,39,6,1.11155041553616,0.0597601466127232
4,1,0.58,NA,4000,50,10,40,6,1.05358019110251,0.0961001012082752
4,1,0.58,NA,4000,50,10,41,5,1.02628380455956,0.0741787737349317
4,1,0.58,NA,4000,50,10,42,5,0.989850884560913,0.0212228020137913
4,1,0.58,NA,4000,50,10,43,5,1.1273986269859,0.072818682884554
4,1,0.58,NA,4000,50,10,44,5,0.999924183570732,0.0674322255451927
4,1,0.58,NA,4000,50,10,45,4,1.00525734808654,0.0387531275220248
4,1,0.58,NA,4000,50,10,46,4,0.962173225663806,0.0444774219761907
4,1,0.58,NA,4000,50,10,47,4,0.988087377480057,0.0132676801626792
4,1,0.58,NA,4000,50,10,48,4,1.11807162831073,0.0594877283382233
4,1,0.58,NA,4000,50,10,49,4,1.04380922595982,0.0503682045134486
4,1,0.58,NA,4000,50,10,50,4,1.00847988070208,0.0619427432115532
4,1,0.58,NA,4000,50,10,51,3,1.06665359482308,0.0514495711355933
4,1,0.58,NA,4000,50,10,52,3,1.0626157142191,0.0214564205971263
4,1,0.58,NA,4000,50,10,53,3,1.0328848046218,0.0253022767790505
4,1,0.58,NA,4000,50,10,54,3,0.839748328689749,0.0137869306750982
4,1,0.58,NA,4000,50,10,55,3,0.926995524944769,0.0442868428335928
4,1,0.58,NA,4000,50,10,56,3,1.09093871095533,0.063762503873958
4,1,0.58,NA,4000,50,10,57,3,1.00935052178473,0.032571872270714
4,1,0.58,NA,4000,50,10,58,2,0.953023807904756,0.0297327779030853
4,1,0.58,NA,4000,50,10,59,2,1.0064750858096,0.0196868136943356
4,1,0.58,NA,4000,50,10,60,2,0.9594053964136,0.0526622545159412
4,1,0.58,NA,4000,50,10,61,2,1.00667150193913,0.0159353451761585
4,1,0.58,NA,4000,50,10,62,2,0.92903630846791,0.0304608804469215
4,1,0.58,NA,4000,50,10,63,2,0.95980818396122,0.0268514051980651
4,1,0.58,NA,4000,50,10,64,2,0.992012775794054,0.0336656798079728
4,1,0.58,NA,4000,50,10,65,2,1.02147714663779,0.0320754720619854
4,1,0.58,NA,4000,50,10,66,2,0.997618885097506,0.0266859294805606
