"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,2,0.58,4,4000,50,10,2,196,1.83517436253316,0.884009638225801
4,2,0.58,4,4000,50,10,3,129,2.05415457769416,0.517144401940376
4,2,0.58,4,4000,50,10,4,96,2.13107224953063,0.746526101999875
4,2,0.58,4,4000,50,10,5,76,2.35031072963874,0.479496522974174
4,2,0.58,4,4000,50,10,6,62,2.23158964238235,0.479496421125992
4,2,0.58,4,4000,50,10,7,53,1.89939895081307,0.704033519972936
4,2,0.58,4,4000,50,10,8,46,1.84218221975235,0.714477335650161
4,2,0.58,4,4000,50,10,9,40,1.93041073108034,0.415428653396884
4,2,0.58,4,4000,50,10,10,36,1.98850531769503,0.503614571367908
4,2,0.58,4,4000,50,10,11,32,1.83676150768586,0.146269743905312
4,2,0.58,4,4000,50,10,12,29,2.23850120933883,0.159077394373283
4,2,0.58,4,4000,50,10,13,26,1.89534139391645,0.28255307248098
4,2,0.58,4,4000,50,10,14,24,1.80149637266264,0.238971505396803
4,2,0.58,4,4000,50,10,15,22,1.97463661396287,0.194755022837754
4,2,0.58,4,4000,50,10,16,21,2.04022718183438,0.171019434356228
4,2,0.58,4,4000,50,10,17,19,1.91623445462933,0.114774589789876
4,2,0.58,4,4000,50,10,18,18,2.08773402906643,0.286406387475518
4,2,0.58,4,4000,50,10,19,17,2.17957019196506,0.159006000318212
4,2,0.58,4,4000,50,10,20,16,1.93380318846703,0.257721515989522
4,2,0.58,4,4000,50,10,21,15,2.08627830114456,0.199346829547938
4,2,0.58,4,4000,50,10,22,14,1.95068306618118,0.158591454648132
4,2,0.58,4,4000,50,10,23,13,2.08882945553895,0.23690176959844
4,2,0.58,4,4000,50,10,24,12,2.0326463342184,0.0810388760695674
4,2,0.58,4,4000,50,10,25,12,2.06134256492889,0.125151877856348
4,2,0.58,4,4000,50,10,26,11,1.88636447606286,0.0817109286833863
4,2,0.58,4,4000,50,10,27,10,1.97879099585379,0.162378296724551
4,2,0.58,4,4000,50,10,28,10,2.0971518957098,0.0586901533111689
4,2,0.58,4,4000,50,10,29,9,2.06804344319125,0.152435590146449
4,2,0.58,4,4000,50,10,30,9,1.98521432441708,0.131758258280476
4,2,0.58,4,4000,50,10,31,8,1.92711481922959,0.183695350140162
4,2,0.58,4,4000,50,10,32,8,1.95421444629589,0.12110582779723
4,2,0.58,4,4000,50,10,33,8,2.03154436706188,0.076389166035896
4,2,0.58,4,4000,50,10,34,7,2.00630752820938,0.118030342565545
4,2,0.58,4,4000,50,10,35,7,1.99038320676134,0.0792950126843317
4,2,0.58,4,4000,50,10,36,7,1.93905209463056,0.106122649956473
4,2,0.58,4,4000,50,10,37,6,1.90975687776718,0.215051904569672
4,2,0.58,4,4000,50,10,38,6,2.01662554507039,0.149553190960967
4,2,0.58,4,4000,50,10,39,6,2.02679202543792,0.209879735422207
4,2,0.58,4,4000,50,10,40,6,2.06783835577388,0.103618410426736
4,2,0.58,4,4000,50,10,41,5,1.98858371090104,0.184682231643171
4,2,0.58,4,4000,50,10,42,5,2.11528506069569,0.110393771820207
4,2,0.58,4,4000,50,10,43,5,1.90052151995618,0.10129043763094
4,2,0.58,4,4000,50,10,44,5,1.95920655548817,0.13552400987152
4,2,0.58,4,4000,50,10,45,4,2.00413232527162,0.155254082130046
4,2,0.58,4,4000,50,10,46,4,2.07353756008066,0.0909131982263928
4,2,0.58,4,4000,50,10,47,4,2.15577245551172,0.148326448779495
4,2,0.58,4,4000,50,10,48,4,2.01261574459916,0.113093501518334
4,2,0.58,4,4000,50,10,49,4,1.95897056220097,0.176590341403037
4,2,0.58,4,4000,50,10,50,4,1.95756128928795,0.222922507119571
4,2,0.58,4,4000,50,10,51,3,2.16570435795165,0.122217604549233
4,2,0.58,4,4000,50,10,52,3,1.92025500407532,0.178682098241122
4,2,0.58,4,4000,50,10,53,3,1.97157019669469,0.133849359666073
4,2,0.58,4,4000,50,10,54,3,2.00068537698821,0.162548924458286
4,2,0.58,4,4000,50,10,55,3,1.98179707774837,0.142870424114352
4,2,0.58,4,4000,50,10,56,3,1.98684237969515,0.0768816739232005
4,2,0.58,4,4000,50,10,57,3,2.00181759733473,0.103531544114486
4,2,0.58,4,4000,50,10,58,2,1.954355471701,0.155901938009106
4,2,0.58,4,4000,50,10,59,2,2.03899181431074,0.211471841232864
4,2,0.58,4,4000,50,10,60,2,1.93892879255258,0.167880200795755
4,2,0.58,4,4000,50,10,61,2,1.9796859569004,0.170398248046396
4,2,0.58,4,4000,50,10,62,2,1.88404393723516,0.117357221618208
4,2,0.58,4,4000,50,10,63,2,1.97567543681444,0.17693324619919
4,2,0.58,4,4000,50,10,64,2,1.99886952039089,0.220347939115116
4,2,0.58,4,4000,50,10,65,2,1.83942793662683,0.0859065149144898
4,2,0.58,4,4000,50,10,66,2,1.96833497699575,0.116786041790166
