"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,4,1,NA,4000,100,5,2,381,4.61178034901847,2.51340501219574
4,4,1,NA,4000,100,5,3,247,3.64005655841263,1.42471721382336
4,4,1,NA,4000,100,5,4,181,4.29417735735663,0.732449465333675
4,4,1,NA,4000,100,5,5,141,4.54141382086004,0.963150932612831
4,4,1,NA,4000,100,5,6,114,3.44854195626971,1.30528843819322
4,4,1,NA,4000,100,5,7,95,3.51523656545826,0.488879120954242
4,4,1,NA,4000,100,5,8,81,4.25997620873238,0.20408844127067
4,4,1,NA,4000,100,5,9,69,3.75129467078263,0.16210628722903
4,4,1,NA,4000,100,5,10,61,4.17086990842099,0.361743100513289
4,4,1,NA,4000,100,5,11,53,4.1259165660534,0.470117249213027
4,4,1,NA,4000,100,5,12,47,3.87455624759373,0.289739068397252
4,4,1,NA,4000,100,5,13,42,3.89335268306789,0.307584620165785
4,4,1,NA,4000,100,5,14,38,3.64178683801149,0.340201497497246
4,4,1,NA,4000,100,5,15,34,4.62365294451607,0.221910735340117
4,4,1,NA,4000,100,5,16,31,3.83053057746616,0.244753727337243
4,4,1,NA,4000,100,5,17,28,4.26632795750538,0.27438948060557
4,4,1,NA,4000,100,5,18,25,4.00466138150529,0.266855219846039
4,4,1,NA,4000,100,5,19,23,4.0797211379054,0.283790157521563
4,4,1,NA,4000,100,5,20,21,4.15263311357996,0.441222001376393
4,4,1,NA,4000,100,5,21,19,3.87594724240198,0.432442830030146
4,4,1,NA,4000,100,5,22,17,3.95239682533044,0.13368698549024
4,4,1,NA,4000,100,5,23,15,3.87825954012236,0.331921441773272
4,4,1,NA,4000,100,5,24,14,4.02482396463321,0.117294424362982
4,4,1,NA,4000,100,5,25,13,3.8564623177175,0.140873177619345
4,4,1,NA,4000,100,5,26,11,4.00391928447632,0.124252493864153
4,4,1,NA,4000,100,5,27,10,3.75037614758206,0.153819522683592
4,4,1,NA,4000,100,5,28,9,4.28610026879705,0.13884065563535
4,4,1,NA,4000,100,5,29,8,3.89611511018781,0.150378937065554
4,4,1,NA,4000,100,5,30,7,4.04820874727857,0.284814908418241
4,4,1,NA,4000,100,5,31,6,3.83321315970775,0.130232138266841
4,4,1,NA,4000,100,5,32,6,4.0774541659726,0.148176744816992
4,4,1,NA,4000,100,5,33,5,3.89798071482267,0.037278358688993
4,4,1,NA,4000,100,5,34,4,3.97684939554044,0.0814388045386556
4,4,1,NA,4000,100,5,35,3,3.93075119857161,0.0946851744073154
4,4,1,NA,4000,100,5,36,3,4.02899084755619,0.0904183907608642
4,4,1,NA,4000,100,5,37,2,4.04297050767671,0.0902756893462525
4,4,1,NA,4000,100,5,38,2,4.07155945515955,0.141849042166517
