"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,0.58,NA,2000,100,10,2,91,0.722562229565329,0.35556259828321
4,1,0.58,NA,2000,100,10,3,57,1.16195640332269,0.746756456670326
4,1,0.58,NA,2000,100,10,4,41,1.04658184278659,0.462328256118096
4,1,0.58,NA,2000,100,10,5,31,1.02735171518566,1.2877149319139
4,1,0.58,NA,2000,100,10,6,24,0.984880837056907,0.251468462244801
4,1,0.58,NA,2000,100,10,7,19,0.739462993781189,0.334755730412546
4,1,0.58,NA,2000,100,10,8,16,0.947198575733071,0.374950831608424
4,1,0.58,NA,2000,100,10,9,13,1.20838381077634,0.360008413096815
4,1,0.58,NA,2000,100,10,10,11,0.922725520275771,0.292106336334851
4,1,0.58,NA,2000,100,10,11,9,1.31858057791643,0.22438936486961
4,1,0.58,NA,2000,100,10,12,7,1.07843756483033,0.146647566443264
4,1,0.58,NA,2000,100,10,13,6,0.971395793290039,0.1443271490857
4,1,0.58,NA,2000,100,10,14,5,0.913243697040949,0.234923759570811
4,1,0.58,NA,2000,100,10,15,4,1.03668658421116,0.10064921789108
4,1,0.58,NA,2000,100,10,16,3,0.864462214866982,0.147460153313623
4,1,0.58,NA,2000,100,10,17,2,0.988293857209,0.204503174662199
4,1,0.58,NA,2000,100,10,18,2,1.21972494176338,0.149866342166462
