"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,1,0.58,1,4000,50,10,2,196,NA,NA,NA,NA,NA
4,1,0.58,1,4000,50,10,3,129,1.48153789748405,0.0747037209448607,0.481537897484048,1,0.333333333333333
4,1,0.58,1,4000,50,10,4,96,0.992915721408015,1.56088909044939,-0.0070842785919849,1,0
4,1,0.58,1,4000,50,10,5,76,1.83069807267048,0.440765658868667,0.830698072670485,0.333333333333333,0.666666666666667
4,1,0.58,1,4000,50,10,6,62,1.11027758719065,0.151692246266761,0.110277587190652,1,0.333333333333333
4,1,0.58,1,4000,50,10,7,53,0.627123726057337,0.0228155756381206,-0.372876273942663,1,0
4,1,0.58,1,4000,50,10,8,46,0.407285708193543,1.40555856973764,-0.592714291806457,0.666666666666667,0.666666666666667
4,1,0.58,1,4000,50,10,9,40,1.18801482183251,0.41807965694053,0.188014821832513,1,0.666666666666667
4,1,0.58,1,4000,50,10,10,36,0.588531754267063,0.0441286499322615,-0.411468245732937,1,0
4,1,0.58,1,4000,50,10,11,32,0.939159762781182,0.0671812134302636,-0.0608402372188184,1,0.666666666666667
4,1,0.58,1,4000,50,10,12,29,1.16877382667417,0.222373452088212,0.168773826674173,1,0.666666666666667
4,1,0.58,1,4000,50,10,13,26,0.482171669726657,0.303921755273167,-0.517828330273343,1,0
4,1,0.58,1,4000,50,10,14,24,0.298392208447895,0.306395312853484,-0.701607791552105,0.666666666666667,0
4,1,0.58,1,4000,50,10,15,22,1.10190390260022,0.357495238118843,0.101903902600221,0.666666666666667,0.666666666666667
4,1,0.58,1,4000,50,10,16,21,0.810179546311848,0.331512473476671,-0.189820453688152,1,0.333333333333333
4,1,0.58,1,4000,50,10,17,19,0.707332435917076,0.131735650388679,-0.292667564082924,1,0.333333333333333
4,1,0.58,1,4000,50,10,18,18,1.29615573162729,0.0887959352633828,0.296155731627292,1,1
4,1,0.58,1,4000,50,10,19,17,1.3041910185244,0.258902646691641,0.304191018524397,0.666666666666667,1
4,1,0.58,1,4000,50,10,20,16,0.725024909157517,0.139314394707754,-0.274975090842483,1,0.333333333333333
4,1,0.58,1,4000,50,10,21,15,1.06980417587533,0.0353317416285757,0.069804175875329,1,1
4,1,0.58,1,4000,50,10,22,14,1.04284139614598,0.253871041198541,0.0428413961459815,1,0.666666666666667
4,1,0.58,1,4000,50,10,23,13,1.41846972909889,0.0341784992288181,0.418469729098888,1,1
4,1,0.58,1,4000,50,10,24,12,1.03697016704823,0.109042667915674,0.0369701670482252,1,1
4,1,0.58,1,4000,50,10,25,12,1.05169081270631,0.332610073499802,0.0516908127063131,0.666666666666667,0.666666666666667
4,1,0.58,1,4000,50,10,26,11,0.771582674741052,0.0504637800359942,-0.228417325258948,1,1
4,1,0.58,1,4000,50,10,27,10,0.811292922360052,0.0642114216883443,-0.188707077639948,1,0.666666666666667
4,1,0.58,1,4000,50,10,28,10,1.18240133580346,0.0303846441407565,0.182401335803459,1,1
4,1,0.58,1,4000,50,10,29,9,0.957619684567141,0.0402723279647809,-0.0423803154328593,1,1
4,1,0.58,1,4000,50,10,30,9,1.18679241764959,0.0471017705276113,0.186792417649592,1,1
4,1,0.58,1,4000,50,10,31,8,0.886236359620736,0.115625539493636,-0.113763640379264,1,1
4,1,0.58,1,4000,50,10,32,8,0.916933906497848,0.246591627550869,-0.0830660935021517,1,0.666666666666667
4,1,0.58,1,4000,50,10,33,8,0.894022240704508,0.0401454819697007,-0.105977759295492,1,1
4,1,0.58,1,4000,50,10,34,7,0.969931034451501,0.128979727678947,-0.0300689655484994,1,1
4,1,0.58,1,4000,50,10,35,7,0.814264110074355,0.0897516401352707,-0.185735889925645,1,1
4,1,0.58,1,4000,50,10,36,7,1.14168206410012,0.127465257415373,0.141682064100124,1,1
4,1,0.58,1,4000,50,10,37,6,1.09295927477275,0.0984860809540705,0.0929592747727539,1,1
4,1,0.58,1,4000,50,10,38,6,1.20876878297367,0.0178584835127782,0.20876878297367,1,1
4,1,0.58,1,4000,50,10,39,6,1.15811562272226,0.169349766527761,0.15811562272226,0.666666666666667,1
4,1,0.58,1,4000,50,10,40,6,0.890963015823491,0.0224607647233141,-0.109036984176509,1,1
4,1,0.58,1,4000,50,10,41,5,0.880515968642757,0.235891734864176,-0.119484031357243,1,0.666666666666667
4,1,0.58,1,4000,50,10,42,5,1.39003058909503,0.0443823412516116,0.390030589095029,0.666666666666667,1
4,1,0.58,1,4000,50,10,43,5,0.949683996266878,0.170884227666255,-0.0503160037331222,1,0.666666666666667
4,1,0.58,1,4000,50,10,44,5,1.13451240638849,0.198695249861643,0.134512406388492,0.666666666666667,1
4,1,0.58,1,4000,50,10,45,4,1.03777121736989,0.032714117486572,0.0377712173698868,1,1
