"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,1,NA,4000,100,10,2,191,0.95003093799335,0.312227889521743
4,1,1,NA,4000,100,10,3,124,0.518260545032742,2.13162502057714
4,1,1,NA,4000,100,10,4,91,1.48627840485391,0.826700637137556
4,1,1,NA,4000,100,10,5,71,0.947702987156582,1.33536208755506
4,1,1,NA,4000,100,10,6,57,0.799535398400093,1.10534269409598
4,1,1,NA,4000,100,10,7,48,1.08650452844221,0.264675431888013
4,1,1,NA,4000,100,10,8,41,0.810145847978438,0.300835470140405
4,1,1,NA,4000,100,10,9,35,0.528403492373984,0.923757214639922
4,1,1,NA,4000,100,10,10,31,0.854016318005005,0.202413184146838
4,1,1,NA,4000,100,10,11,27,0.900840000826114,0.403656736301099
4,1,1,NA,4000,100,10,12,24,1.00280143803136,0.376783617072213
4,1,1,NA,4000,100,10,13,21,0.877438633091298,0.236747409179146
4,1,1,NA,4000,100,10,14,19,0.958838969530417,0.543057694243003
4,1,1,NA,4000,100,10,15,17,0.913960256288293,0.391953371350307
4,1,1,NA,4000,100,10,16,16,1.04324915366058,0.168860801057282
4,1,1,NA,4000,100,10,17,14,1.13260444777437,0.240724739957319
4,1,1,NA,4000,100,10,18,13,0.993084463866185,0.237432797067448
4,1,1,NA,4000,100,10,19,12,1.11772806195777,0.435661599903463
4,1,1,NA,4000,100,10,20,11,1.01783378922561,0.513738246054869
4,1,1,NA,4000,100,10,21,10,0.746118204231774,0.529309370584693
4,1,1,NA,4000,100,10,22,9,1.00501729547607,0.13308146514681
4,1,1,NA,4000,100,10,23,8,1.01085538958721,0.310942879669692
4,1,1,NA,4000,100,10,24,7,1.21285590040532,0.0595154359334422
4,1,1,NA,4000,100,10,25,7,0.932109240662656,0.17583407071265
4,1,1,NA,4000,100,10,26,6,1.03400799803138,0.191893433109336
4,1,1,NA,4000,100,10,27,5,0.925997783527533,0.166363427602802
4,1,1,NA,4000,100,10,28,5,0.852661193294023,0.169559665547019
4,1,1,NA,4000,100,10,29,4,0.814546830369755,0.131494269107432
4,1,1,NA,4000,100,10,30,4,1.01596741142982,0.114813358286415
4,1,1,NA,4000,100,10,31,3,0.894124889204019,0.164648518339476
4,1,1,NA,4000,100,10,32,3,0.691000623123601,0.176732476568813
4,1,1,NA,4000,100,10,33,3,1.15504384694341,0.170428722605661
4,1,1,NA,4000,100,10,34,2,0.960703489166262,0.164805629163164
4,1,1,NA,4000,100,10,35,2,1.22499403866458,0.130046270032028
4,1,1,NA,4000,100,10,36,2,1.03101065921001,0.137184325327411
