"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,1,0.58,NA,4000,100,5,2,381,3.56947609271433,NA,2.56947609271433,0,0
4,1,0.58,NA,4000,100,5,3,247,0.707061036778965,0.18188158961504,-0.292938963221035,1,0
4,1,0.58,NA,4000,100,5,4,181,1.32357746965031,0.261457265955983,0.32357746965031,1,0
4,1,0.58,NA,4000,100,5,5,141,2.256041433759,0.125074696738231,1.256041433759,0.666666666666667,0
4,1,0.58,NA,4000,100,5,6,114,0.937235257114682,0.269778621580086,-0.0627647428853182,1,0
4,1,0.58,NA,4000,100,5,7,95,0.0100702856792095,0.196204365112614,-0.989929714320791,0.666666666666667,0
4,1,0.58,NA,4000,100,5,8,81,1.5049383593356,0.120482409916479,0.504938359335597,1,0
4,1,0.58,NA,4000,100,5,9,69,0.796008385279332,0.574065390015152,-0.203991614720668,1,0
4,1,0.58,NA,4000,100,5,10,61,0.764526268245025,0.00146492500485854,-0.235473731754975,1,0
4,1,0.58,NA,4000,100,5,11,53,1.04833253472639,0.244402217641247,0.0483325347263861,1,0
4,1,0.58,NA,4000,100,5,12,47,0.86997246145138,0.0397022647083841,-0.13002753854862,1,0
4,1,0.58,NA,4000,100,5,13,42,0.830655898363514,0.330612036305781,-0.169344101636486,1,0
4,1,0.58,NA,4000,100,5,14,38,0.409037509285562,0.0529550496147578,-0.590962490714438,0.666666666666667,0
4,1,0.58,NA,4000,100,5,15,34,1.20066556447081,0.243197265473188,0.200665564470812,1,0
4,1,0.58,NA,4000,100,5,16,31,1.14622513500265,0.042985408008371,0.146225135002648,1,0
4,1,0.58,NA,4000,100,5,17,28,1.09421685839908,0.113633041961167,0.0942168583990792,1,0
4,1,0.58,NA,4000,100,5,18,25,1.01745080499298,0.0448048445301616,0.0174508049929847,1,0
4,1,0.58,NA,4000,100,5,19,23,1.28035050050801,0.228854689864832,0.280350500508012,0.666666666666667,0
4,1,0.58,NA,4000,100,5,20,21,0.748371568604594,0.141085689891887,-0.251628431395406,1,0
4,1,0.58,NA,4000,100,5,21,19,0.967131339706058,0.143819254227879,-0.0328686602939419,1,0
4,1,0.58,NA,4000,100,5,22,17,0.86701047300524,0.200908938313897,-0.13298952699476,1,0
4,1,0.58,NA,4000,100,5,23,15,1.35350388162562,0.0691325565938514,0.353503881625623,1,0
4,1,0.58,NA,4000,100,5,24,14,0.83284462298901,0.164213526952526,-0.167155377010989,0.666666666666667,0
4,1,0.58,NA,4000,100,5,25,13,1.20205042943394,0.247810887456266,0.202050429433943,0.666666666666667,0
4,1,0.58,NA,4000,100,5,26,11,0.982684592570351,0.210402429704967,-0.0173154074296494,1,0
4,1,0.58,NA,4000,100,5,27,10,0.913780459902191,0.101681471675826,-0.0862195400978086,1,0
4,1,0.58,NA,4000,100,5,28,9,1.14129479940003,0.0204148484315136,0.141294799400026,1,0
4,1,0.58,NA,4000,100,5,29,8,0.801801289294176,0.0296084850327065,-0.198198710705824,1,0
4,1,0.58,NA,4000,100,5,30,7,1.11551678745862,0.0583268049194158,0.115516787458621,1,0
4,1,0.58,NA,4000,100,5,31,6,0.901554171146984,0.0608238123779882,-0.0984458288530162,1,0
4,1,0.58,NA,4000,100,5,32,6,0.757519678055664,0.0565753775238083,-0.242480321944336,1,0
4,1,0.58,NA,4000,100,5,33,5,0.805568061297092,0.0694179400640901,-0.194431938702908,1,0
4,1,0.58,NA,4000,100,5,34,4,1.0786628056036,0.136725972731727,0.0786628056035967,1,0
4,1,0.58,NA,4000,100,5,35,3,1.23026855398673,0.170965389512709,0.230268553986725,0.666666666666667,0
4,1,0.58,NA,4000,100,5,36,3,0.768748437351465,0.151981655793865,-0.231251562648535,0.666666666666667,0
4,1,0.58,NA,4000,100,5,37,2,1.21388280096777,0.0094932963779902,0.213882800967767,1,0
4,1,0.58,NA,4000,100,5,38,2,0.813492026373378,0.129440137175166,-0.186507973626622,0.666666666666667,0
