"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,0.58,NA,4000,100,10,2,191,0.773521237945739,0.724654410934592
4,1,0.58,NA,4000,100,10,3,124,0.875885558506192,0.908000193598232
4,1,0.58,NA,4000,100,10,4,91,1.47147810508908,1.69255324547092
4,1,0.58,NA,4000,100,10,5,71,0.987042474476426,0.628991931800023
4,1,0.58,NA,4000,100,10,6,57,0.898530646022731,0.65135936102246
4,1,0.58,NA,4000,100,10,7,48,0.521745500831168,0.354592132865217
4,1,0.58,NA,4000,100,10,8,41,1.24419480872137,0.170115913023729
4,1,0.58,NA,4000,100,10,9,35,1.14298104009755,0.299137468095162
4,1,0.58,NA,4000,100,10,10,31,0.871411397883375,0.561535478550204
4,1,0.58,NA,4000,100,10,11,27,0.60519011684921,0.284761284862611
4,1,0.58,NA,4000,100,10,12,24,0.845320907622077,0.0869869820009231
4,1,0.58,NA,4000,100,10,13,21,1.01640354724767,0.0667541143250506
4,1,0.58,NA,4000,100,10,14,19,0.934468585657207,0.138022477031605
4,1,0.58,NA,4000,100,10,15,17,1.12958419520664,0.284585454194314
4,1,0.58,NA,4000,100,10,16,16,1.1382531334774,0.06177764146671
4,1,0.58,NA,4000,100,10,17,14,1.17911819796295,0.104210944482687
4,1,0.58,NA,4000,100,10,18,13,1.1656727284324,0.176864731457707
4,1,0.58,NA,4000,100,10,19,12,1.01559359143212,0.273500973741073
4,1,0.58,NA,4000,100,10,20,11,1.13869985834572,0.284857369343297
4,1,0.58,NA,4000,100,10,21,10,1.00656114917588,0.0746849994521231
4,1,0.58,NA,4000,100,10,22,9,1.16746166585723,0.175551478416403
4,1,0.58,NA,4000,100,10,23,8,1.22204352087413,0.19268836476728
4,1,0.58,NA,4000,100,10,24,7,0.887369642445212,0.138083408165865
4,1,0.58,NA,4000,100,10,25,7,0.865100369831864,0.0714518192308042
4,1,0.58,NA,4000,100,10,26,6,1.05777704785236,0.187570863689775
4,1,0.58,NA,4000,100,10,27,5,0.942078721117658,0.0640022976320794
4,1,0.58,NA,4000,100,10,28,5,0.845858737583574,0.0302877146313671
4,1,0.58,NA,4000,100,10,29,4,1.06780288349493,0.0679547987944289
4,1,0.58,NA,4000,100,10,30,4,1.01968937335928,0.0428234586817839
4,1,0.58,NA,4000,100,10,31,3,0.95434957560354,0.0449385526124835
4,1,0.58,NA,4000,100,10,32,3,1.03588552654397,0.0897261539222531
4,1,0.58,NA,4000,100,10,33,3,1.12970240099692,0.123966143630476
4,1,0.58,NA,4000,100,10,34,2,0.974676934534706,0.208687217370632
4,1,0.58,NA,4000,100,10,35,2,1.24817226884829,0.0859120455121606
4,1,0.58,NA,4000,100,10,36,2,1.01243466049962,0.0512740464559642
