"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var","bias","coverage_prob","power"
4,4,1,NA,4000,100,5,2,381,5.52278211947978,NA,1.52278211947978,0,0
4,4,1,NA,4000,100,5,3,247,3.87738880527686,0.256196986623268,-0.122611194723144,1,0
4,4,1,NA,4000,100,5,4,181,4.64415677008558,1.29486838523468,0.644156770085578,1,0
4,4,1,NA,4000,100,5,5,141,5.26808970309743,0.803427941127923,1.26808970309743,0.666666666666667,0
4,4,1,NA,4000,100,5,6,114,3.16563421288546,1.32694719935772,-0.83436578711454,0.666666666666667,0
4,4,1,NA,4000,100,5,7,95,4.07949789368,0.767882643219043,0.0794978936799975,1,0
4,4,1,NA,4000,100,5,8,81,4.23074197623532,0.075003054989569,0.230741976235322,1,0
4,4,1,NA,4000,100,5,9,69,3.79304000428094,0.302447940021858,-0.206959995719064,1,0
4,4,1,NA,4000,100,5,10,61,4.49500212025956,1.13027725816394,0.495002120259557,0.666666666666667,0
4,4,1,NA,4000,100,5,11,53,3.96194134294828,0.573590728816724,-0.0380586570517214,1,0
4,4,1,NA,4000,100,5,12,47,4.41691960100072,0.476136952795359,0.416919601000719,1,0
4,4,1,NA,4000,100,5,13,42,3.79224402650304,0.0247173990019134,-0.20775597349696,1,0
4,4,1,NA,4000,100,5,14,38,3.084346407204,0.598409886271304,-0.915653592795997,0.333333333333333,0
4,4,1,NA,4000,100,5,15,34,4.63806536136096,0.0271395512256197,0.638065361360962,1,0
4,4,1,NA,4000,100,5,16,31,3.97033553299889,0.781323148840978,-0.0296644670011146,0.666666666666667,0
4,4,1,NA,4000,100,5,17,28,3.88972152209371,0.146390426333595,-0.110278477906291,1,0
4,4,1,NA,4000,100,5,18,25,3.56140184741405,0.414074973007491,-0.43859815258595,0.666666666666667,0
4,4,1,NA,4000,100,5,19,23,4.50417120146661,0.269869124782182,0.504171201466606,0.666666666666667,0
4,4,1,NA,4000,100,5,20,21,4.07319546838248,1.33404372462194,0.073195468382476,0.666666666666667,0
4,4,1,NA,4000,100,5,21,19,4.01496125765766,0.195686437204497,0.0149612576576565,1,0
4,4,1,NA,4000,100,5,22,17,3.86231047154627,0.392546090976313,-0.137689528453733,1,0
4,4,1,NA,4000,100,5,23,15,4.35928768255696,0.08366627768545,0.359287682556964,1,0
4,4,1,NA,4000,100,5,24,14,4.12144220081823,0.376347041607341,0.121442200818231,1,0
4,4,1,NA,4000,100,5,25,13,3.74080161424881,0.0309009382093186,-0.259198385751192,1,0
4,4,1,NA,4000,100,5,26,11,3.83376109595875,0.287338776206022,-0.166238904041248,1,0
4,4,1,NA,4000,100,5,27,10,3.53696810678121,0.0209928031687747,-0.46303189321879,1,0
4,4,1,NA,4000,100,5,28,9,4.3798443566336,0.135765894465123,0.379844356633595,0.666666666666667,0
4,4,1,NA,4000,100,5,29,8,3.70662723993321,0.149479474712177,-0.293372760066787,1,0
4,4,1,NA,4000,100,5,30,7,4.07787275134152,0.652679613384744,0.077872751341518,0.666666666666667,0
4,4,1,NA,4000,100,5,31,6,3.56068749201812,0.0291807422851335,-0.439312507981879,1,0
4,4,1,NA,4000,100,5,32,6,3.85785128034819,0.20938364478768,-0.142148719651809,1,0
4,4,1,NA,4000,100,5,33,5,3.91446898893106,0.0284927731484473,-0.085531011068944,1,0
4,4,1,NA,4000,100,5,34,4,4.12608113535986,0.022168039497424,0.12608113535986,1,0
4,4,1,NA,4000,100,5,35,3,3.63317024560074,0.0862380378912775,-0.366829754399263,0.666666666666667,0
4,4,1,NA,4000,100,5,36,3,4.05570530889003,0.010532017833313,0.0557053088900297,1,0
4,4,1,NA,4000,100,5,37,2,4.36081894511588,0.0704444087075516,0.360818945115881,0.666666666666667,0
4,4,1,NA,4000,100,5,38,2,4.22287406560582,0.262214251147567,0.22287406560582,1,0
