"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,4,1,NA,4000,50,10,2,196,4.62180798185506,3.68030372714929
4,4,1,NA,4000,50,10,3,129,4.09385618433565,0.500711327837247
4,4,1,NA,4000,50,10,4,96,4.0219965139755,1.69821189633715
4,4,1,NA,4000,50,10,5,76,4.44373661969887,1.91075488569775
4,4,1,NA,4000,50,10,6,62,4.49823389014501,0.728292623402081
4,4,1,NA,4000,50,10,7,53,3.6067518929919,1.23283322801771
4,4,1,NA,4000,50,10,8,46,4.09579822139468,0.631440060104976
4,4,1,NA,4000,50,10,9,40,3.95890450377534,0.42923650989744
4,4,1,NA,4000,50,10,10,36,3.94950056128857,0.392741616293236
4,4,1,NA,4000,50,10,11,32,3.90120911367327,0.31755154050233
4,4,1,NA,4000,50,10,12,29,4.05031005544444,0.545307894482695
4,4,1,NA,4000,50,10,13,26,3.89594202862459,0.125594446826274
4,4,1,NA,4000,50,10,14,24,3.96295718581509,0.676563567317217
4,4,1,NA,4000,50,10,15,22,4.28680676235258,0.321506005448894
4,4,1,NA,4000,50,10,16,21,3.76829607845658,0.183734476296221
4,4,1,NA,4000,50,10,17,19,4.07893701266814,0.20400947243005
4,4,1,NA,4000,50,10,18,18,4.14343923843309,0.29698274528867
4,4,1,NA,4000,50,10,19,17,4.09013644142393,0.287410407185948
4,4,1,NA,4000,50,10,20,16,4.13036090365997,0.310899126868542
4,4,1,NA,4000,50,10,21,15,3.89611475770739,0.166705587229088
4,4,1,NA,4000,50,10,22,14,4.27497222255502,0.125447362821231
4,4,1,NA,4000,50,10,23,13,4.12210344031803,0.246769245444451
4,4,1,NA,4000,50,10,24,12,3.95920441100455,0.328368436146178
4,4,1,NA,4000,50,10,25,12,3.97374035511259,0.343263947792007
4,4,1,NA,4000,50,10,26,11,4.00391928447632,0.124252493864153
4,4,1,NA,4000,50,10,27,10,3.75037614758206,0.153819522683592
4,4,1,NA,4000,50,10,28,10,4.03904278734248,0.0912084129500281
4,4,1,NA,4000,50,10,29,9,4.00319657179501,0.158219007811805
4,4,1,NA,4000,50,10,30,9,3.78611204853315,0.0703065102346546
4,4,1,NA,4000,50,10,31,8,3.9556183203204,0.0614845659410554
4,4,1,NA,4000,50,10,32,8,3.86363025282852,0.190560593084233
4,4,1,NA,4000,50,10,33,8,4.03869491700848,0.129081207530921
4,4,1,NA,4000,50,10,34,7,4.03431537751319,0.341275367500732
4,4,1,NA,4000,50,10,35,7,3.9716146306573,0.0677245852435992
4,4,1,NA,4000,50,10,36,7,4.02910892529578,0.140033073038258
4,4,1,NA,4000,50,10,37,6,4.12764123998769,0.230547899586003
4,4,1,NA,4000,50,10,38,6,4.00536988304762,0.049443335241602
4,4,1,NA,4000,50,10,39,6,4.14353661024604,0.0792435904848559
4,4,1,NA,4000,50,10,40,6,3.99900935807099,0.0914500183991415
4,4,1,NA,4000,50,10,41,5,4.10666833303196,0.101005307030624
4,4,1,NA,4000,50,10,42,5,4.18030783728664,0.129615315585361
4,4,1,NA,4000,50,10,43,5,3.99499073030989,0.0668651641080682
4,4,1,NA,4000,50,10,44,5,4.11415705528054,0.0721135559989198
4,4,1,NA,4000,50,10,45,4,3.91353380614479,0.0883017601552794
4,4,1,NA,4000,50,10,46,4,3.97947803008216,0.0466871301705787
4,4,1,NA,4000,50,10,47,4,3.98072248250544,0.0549996570409468
4,4,1,NA,4000,50,10,48,4,4.06531504247676,0.0779681543894953
4,4,1,NA,4000,50,10,49,4,3.9193059845552,0.121699986372216
4,4,1,NA,4000,50,10,50,4,4.04174946663176,0.150076919853995
4,4,1,NA,4000,50,10,51,3,4.05024566527781,0.0452767584904709
4,4,1,NA,4000,50,10,52,3,3.98685574226405,0.0514322652298256
4,4,1,NA,4000,50,10,53,3,3.94852793958907,0.0634446734337736
4,4,1,NA,4000,50,10,54,3,3.99695034957593,0.0338604171861991
4,4,1,NA,4000,50,10,55,3,4.02286136049229,0.0850814565730608
4,4,1,NA,4000,50,10,56,3,3.98233314218119,0.0346174335112013
4,4,1,NA,4000,50,10,57,3,3.90423648498495,0.106220601530208
4,4,1,NA,4000,50,10,58,2,3.89862472931835,0.0346372667155436
4,4,1,NA,4000,50,10,59,2,4.0392883918626,0.025855323963114
4,4,1,NA,4000,50,10,60,2,3.96926005297294,0.0919772658159202
4,4,1,NA,4000,50,10,61,2,4.01977945732363,0.113370996411045
4,4,1,NA,4000,50,10,62,2,4.01071395643123,0.0214634882629344
4,4,1,NA,4000,50,10,63,2,3.95169129749913,0.0955883418475948
4,4,1,NA,4000,50,10,64,2,4.11547964142301,0.0711466552419335
4,4,1,NA,4000,50,10,65,2,3.96826276424271,0.0526998864145281
4,4,1,NA,4000,50,10,66,2,3.92577219182468,0.0408587145554073
