"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,2,1,1,3000,50,10,2,146,3.06852524243818,2.60514733786264
4,2,1,1,3000,50,10,3,96,2.04676885551684,1.55812908527314
4,2,1,1,3000,50,10,4,71,2.13146148469858,1.02352230647829
4,2,1,1,3000,50,10,5,56,1.75456585282656,1.62585062852539
4,2,1,1,3000,50,10,6,46,1.88418063674773,0.90160262444739
4,2,1,1,3000,50,10,7,38,2.02201570033311,0.55064114605826
4,2,1,1,3000,50,10,8,33,2.0141572793056,0.541999178310929
4,2,1,1,3000,50,10,9,29,2.09815997897364,0.431725539468193
4,2,1,1,3000,50,10,10,26,2.12220095135409,0.494223930335151
4,2,1,1,3000,50,10,11,23,2.08116870456759,0.58102123151913
4,2,1,1,3000,50,10,12,21,1.82826373846195,0.621668215228723
4,2,1,1,3000,50,10,13,19,1.81669385337732,0.360942290717164
4,2,1,1,3000,50,10,14,17,2.17813526166861,0.414746814260411
4,2,1,1,3000,50,10,15,16,2.13815378961219,0.456348254725159
4,2,1,1,3000,50,10,16,14,2.07318911606888,0.424762194587533
4,2,1,1,3000,50,10,17,13,2.04773535148802,0.244655496502423
4,2,1,1,3000,50,10,18,12,1.88848191523125,0.27969180431376
4,2,1,1,3000,50,10,19,11,2.03103418483156,0.21050915819815
4,2,1,1,3000,50,10,20,11,1.98709711963024,0.156588437985879
4,2,1,1,3000,50,10,21,10,1.89752266799445,0.0993000657393646
4,2,1,1,3000,50,10,22,9,1.89686413107205,0.158175694510785
4,2,1,1,3000,50,10,23,9,2.05956979860561,0.253017990533661
4,2,1,1,3000,50,10,24,8,1.84974940722986,0.394494062406564
4,2,1,1,3000,50,10,25,8,2.14399620130178,0.15139106451875
4,2,1,1,3000,50,10,26,7,1.97479705025059,0.210887271983032
4,2,1,1,3000,50,10,27,7,2.13757556341623,0.345724329624075
4,2,1,1,3000,50,10,28,6,1.98665148631664,0.125323060110357
4,2,1,1,3000,50,10,29,6,1.97761857299171,0.11608996799803
4,2,1,1,3000,50,10,30,6,2.0253692933996,0.14136858387092
4,2,1,1,3000,50,10,31,5,1.97751139470938,0.159545282735076
4,2,1,1,3000,50,10,32,5,2.21403248592283,0.176649242794934
4,2,1,1,3000,50,10,33,5,1.98720921857404,0.0513592637688785
4,2,1,1,3000,50,10,34,4,1.95704822212122,0.164600091910571
4,2,1,1,3000,50,10,35,4,2.02788404495156,0.0775969660021832
4,2,1,1,3000,50,10,36,4,1.87518235461016,0.127125484679697
4,2,1,1,3000,50,10,37,4,1.94327045950274,0.0929539030419039
4,2,1,1,3000,50,10,38,3,1.93520938836437,0.165495471798638
4,2,1,1,3000,50,10,39,3,2.0843107599901,0.182557960176791
4,2,1,1,3000,50,10,40,3,2.12763712003009,0.115095050415964
4,2,1,1,3000,50,10,41,3,2.17355656776274,0.145410621115471
4,2,1,1,3000,50,10,42,3,2.09657989819076,0.109383561897401
4,2,1,1,3000,50,10,43,2,2.04632043346654,0.263415779440213
4,2,1,1,3000,50,10,44,2,2.07680189784458,0.0802462360442183
4,2,1,1,3000,50,10,45,2,2.04510642513814,0.120243047326549
4,2,1,1,3000,50,10,46,2,2.0416087112764,0.151779922998223
4,2,1,1,3000,50,10,47,2,2.08754372009109,0.106406982576113
4,2,1,1,3000,50,10,48,2,1.8902237455412,0.0690922458344123
4,2,1,1,3000,50,10,49,2,2.02669570350883,0.094103562683368
4,2,1,1,3000,50,10,50,2,2.0333781572578,0.108135065062368
