"alpha","beta","gamma_sq","sigma_sq","B","c1","c2","G","R","betahat_mean","betahat_var"
4,1,1,NA,5000,100,10,2,241,1.43931879318533,2.74789348905136
4,1,1,NA,5000,100,10,3,157,1.02273208367712,2.14330915126145
4,1,1,NA,5000,100,10,4,116,1.55823258513931,1.60042191170323
4,1,1,NA,5000,100,10,5,91,1.19194970093611,1.35911921313593
4,1,1,NA,5000,100,10,6,74,0.979549060586796,1.08763972689045
4,1,1,NA,5000,100,10,7,62,0.959850577171364,0.966312905630387
4,1,1,NA,5000,100,10,8,53,0.763420796326145,0.927048354516872
4,1,1,NA,5000,100,10,9,46,0.816271338045633,0.531057853648204
4,1,1,NA,5000,100,10,10,41,1.23816385858666,0.239086326586843
4,1,1,NA,5000,100,10,11,36,0.836952790193669,0.190670457185365
4,1,1,NA,5000,100,10,12,32,1.28696120466736,0.269090845351907
4,1,1,NA,5000,100,10,13,29,0.923880517623365,0.274756776883027
4,1,1,NA,5000,100,10,14,26,0.676909783342174,0.314128203456079
4,1,1,NA,5000,100,10,15,24,1.01755223949088,0.257372581597655
4,1,1,NA,5000,100,10,16,22,1.07783326735726,0.293333219802704
4,1,1,NA,5000,100,10,17,20,1.11748691513056,0.568042772394461
4,1,1,NA,5000,100,10,18,18,0.978430712356851,0.227861326294165
4,1,1,NA,5000,100,10,19,17,1.03262752564777,0.169916218385595
4,1,1,NA,5000,100,10,20,16,1.00505814969725,0.242916839644548
4,1,1,NA,5000,100,10,21,14,1.09582306241771,0.194442268415677
4,1,1,NA,5000,100,10,22,13,1.02201111878909,0.109240425724512
4,1,1,NA,5000,100,10,23,12,1.1517604351752,0.17786008132685
4,1,1,NA,5000,100,10,24,11,1.14074195368322,0.10584634336174
4,1,1,NA,5000,100,10,25,11,1.08239390253473,0.168389279393254
4,1,1,NA,5000,100,10,26,10,1.08325133327595,0.229888121728802
4,1,1,NA,5000,100,10,27,9,0.790986693519546,0.12811090740482
4,1,1,NA,5000,100,10,28,8,1.10044920590962,0.0696012919201542
4,1,1,NA,5000,100,10,29,8,0.977488826772733,0.124765382464818
4,1,1,NA,5000,100,10,30,7,1.12991262568392,0.182872620788068
4,1,1,NA,5000,100,10,31,7,0.890082839122015,0.135323849844275
4,1,1,NA,5000,100,10,32,6,1.04611635657886,0.106420911662726
4,1,1,NA,5000,100,10,33,6,1.05644446108912,0.0840773300921895
4,1,1,NA,5000,100,10,34,5,1.06093891560447,0.222339575819263
4,1,1,NA,5000,100,10,35,5,0.981320487871409,0.0884816611143013
4,1,1,NA,5000,100,10,36,4,0.978701278463454,0.0886635361791333
4,1,1,NA,5000,100,10,37,4,1.21623185107151,0.159872909952513
4,1,1,NA,5000,100,10,38,4,0.95862332277382,0.122214710825512
4,1,1,NA,5000,100,10,39,3,1.0487295403654,0.0649501024773979
4,1,1,NA,5000,100,10,40,3,0.969996272004712,0.0554154410701555
4,1,1,NA,5000,100,10,41,3,1.00656004559339,0.115745326457271
4,1,1,NA,5000,100,10,42,2,0.866416458486136,0.0523582954048935
4,1,1,NA,5000,100,10,43,2,1.04694165134196,0.0905850941545881
4,1,1,NA,5000,100,10,44,2,1.00384569516044,0.17449676217628
4,1,1,NA,5000,100,10,45,2,1.11686821330735,0.0608823505597884
